,Date,Tweet_id,Verified,Tweet,User,Location,Source,Likes,Followers,Following,Retweets
8453,2020-07-20 18:38:50,1285283040126803969,False,"In 15/oct/2018 #KanyeWest visited Uganda and met the president. Two yrs later, today he launches his presidential c… https://t.co/wYHDslLwl8",_sonny91, Engaa|Arua|Northwest|Uganda,Mobile Web (M2),0,78,539,0
8454,2020-07-20 18:38:47,1285283025744465921,False,#ExtremeRules           #KanyeWest #ExtremeRules2020 #entanglement #90dayfiance #TheChi            #NEOWISE… https://t.co/CKZGnJ1ATA,thebctman,,Twitter for iPhone,0,69,145,0
8455,2020-07-20 18:38:43,1285283007994245121,False,"#MondayMotivaton #KanyeWest #RatedMTG13
Y.k.N.d.T ! Atmospheric Water Generator https://t.co/16mNSj9zpe via @YouTube",MTGTribe,anywhere you are,Twitter Web App,0,564,359,0
8456,2020-07-20 18:38:35,1285282974385283073,False,"RT @TallB14: She killed it😂🤣😂
#KimKardashian #KanyeWest https://t.co/wqHJON4Gui",Dtikitakaqueen,,Twitter Web App,0,7505,3356,162
8457,2020-07-20 18:38:30,1285282953199747072,False,honestly I’m so sorry y’all have to keep seeing this #ExtremeRules          #KanyeWest #ExtremeRules2020… https://t.co/eVNVYQdure,stylestbsl,she/her ,Twitter for iPhone,0,1440,563,0
8458,2020-07-20 18:38:28,1285282946899939328,False,"Can we all agree on one thing during this tumultuous time?

Kanye’s for sure off his meds. 😳

#Kanye2020 #KanyeWest https://t.co/IUCxnzObQX",acityexplored,"Columbus, OH",Twitter for iPhone,2,1594,3181,0
8459,2020-07-20 18:38:26,1285282939237007361,False,RT @Haki_k_Shakur: Assata’s face after she heard Kanye say Harriet Tubman didn’t free slaves ... no one today can define our ancestors free…,ChukwudubemIgb1,"Canicattì, Sicilia",Twitter for Android,0,1095,143,7
8460,2020-07-20 18:38:10,1285282872090398721,False,RT @H24News_: Kanye West breaks down in tears at campaign rally— Rapper Kanye West launches his presidential campaign suggesting a payment…,KingDavid23,,Twitter for iPhone,0,2141,1749,25
8461,2020-07-20 18:38:06,1285282856227528704,False,Why #KimKardashianWest  don t support her husband   #KanyeWest ? She don t WANT loose her biziness 😂 #sorryharry #COVID19 #,Chachw3,,Twitter for Android,0,0,0,1
8462,2020-07-20 18:38:02,1285282838393348097,False,RT @thetrue100media: A girl who attended #KanyeWest’s rally in #CharlestonSC explains their now viral debate where he called her out in fro…,badbbytweet,"Florida, USA",Twitter for iPhone,0,83,83,20
8463,2020-07-20 18:38:00,1285282827186122753,False,let’s get it juliana nation #ExtremeRules          #KanyeWest #ExtremeRules2020 #entanglement #90dayfiance #TheChi … https://t.co/kVUMEmmy7I,stylestbsl,she/her ,Twitter for iPhone,0,1440,563,0
8464,2020-07-20 18:37:32,1285282713302335488,False,she wasn't upset when he made music degrading women #KanyeWest #kanyewestisoverparty u can't speak now https://t.co/BV3P2dbAX9,hemeroscopium1,,Twitter for Android,6,16,17,2
8465,2020-07-20 18:37:23,1285282673171165184,False,"RT @RoseMur89: FUCK KANYE and I am saying it with my whole chest.
#KanyeWest https://t.co/dKAydmJwDg",AfairyfromVenus,"Los Angeles, CA",Twitter for iPhone,0,14,101,149
