Date,Tweet_id,Verified,Text,User,Location,Source,Likes,Followers,Following,Retweets
16-07-2020 03:37,1.28361E+18,FALSE,"#Hacked: Along with Kim, the Twitter account of her husband #KanyeWest was also hacked. https://t.co/13KqrYiSUi",nd24_news,"Guwahati, Assam",Twitter for Android,0,325,160,0
16-07-2020 03:33,1.28361E+18,FALSE,"Trending toward legit, yes. #Kanye2020
#Vision2020
#KanyeWest: ‘Kanye 2020’ Committee Filed With FEC, But Is It Legit? – Rolling Stone https://t.co/MwRIVaRe6S",CA_JosephPeters,"Saline, MI",Twitter for Android,0,255,381,0
16-07-2020 03:32,1.28361E+18,FALSE,"Twitter accounts of Kanye West, Elon Musk, Joe Biden were hacked and used for Cryptocurrency Scam. 

My story for @IBTimes - https://t.co/bBtzHJcjoV 

#KanyeWest #JoeBiden #BarackObama #ElonMusk #WritingCommunity #Entertainment #Hacked #cryptocurrencies #twitterhacked",JournalistWFH,,Twitter for Android,1,12372,2218,0
16-07-2020 03:29,1.2836E+18,FALSE,"Massive Twitter hack underway by Bitcoin scammers:

- #BillGates
- #ElonMusk
- #JoeBiden 
- #WarrenBuffett
- #KanyeWest
- #MichaeBloomberg
- #Apple
- #Uber
- #JeffBezos
- #BarackObama https://t.co/LlOP5PT2wu",sac_meena,,Twitter for Android,1,45,41,0
16-07-2020 03:29,1.2836E+18,FALSE,He probably didn’t get the hype that he was looking for!!! #Kanyewest #USA #thedesitimes #montysaiyed #Usanews #worldnews https://t.co/BYwcysGS9s,montysaiyed,,Twitter for iPhone,0,34,117,0
16-07-2020 03:27,1.2836E+18,FALSE,"#JoeBiden, #BillGates, former President #Obama, #ElonMusk, #KanyeWest, #WarrenBuffett, #JeffBezos and #MikeBloomberg are among the prominent people whose #Twitter accounts were compromised and posted tweets that appeared to promote a #cryptocurrency #scam https://t.co/Njsu5JHIdz",Ketul1Indian,earth ,Twitter for Android,1,915,3424,1
16-07-2020 03:18,1.2836E+18,FALSE,@realDonaldTrump and #KanyeWest have cooked up a #scam so that #Kanye can get a shitload of black votes and #Trump can coast on in with his people and others. Smooth plan. #Ebony and #Ivory lol!,kimballkan56,"Texas, USA",Twitter for iPhone,0,74,89,0
16-07-2020 03:15,1.2836E+18,FALSE,"Elon Musk, Apple, Bill Gates, Kanye West and more hacked by cryptocurrency scam #KanyeWest https://t.co/mrzO5hBpa2 https://t.co/KOw43TNyqJ",bitcoinagile,Matter Doesn't Matter,bitcoinagile,0,53128,13015,0
16-07-2020 03:04,1.2836E+18,FALSE,"It's high time Govt pass a law to prosecute stupid people  
 how the hell does a human being fall for this #Hacked #KanyeWest #twitterhacked https://t.co/dElwdL1m3u",sotrueng,"Abeokuta,Ogun State",Twitter Web App,0,1002,143,0
16-07-2020 03:02,1.2836E+18,FALSE,"Celebrity: #KanyeWest Hacked Alongside Bill Gates, Elon Musk &amp; Jeff Bezos https://t.co/XvSrdENK2r #twitterhacked",NewsToter,"Tallahassee, FL",Twitter Web App,0,3333,3123,0
